province,projects,total_units,total_portfolio_M,avg_biz_score,top_project
Bangkok,247,383,6302.9,7.4,The Residences 38
Phuket,120,240,2894.4,10.4,Layan Verde
Chon Buri,62,114,1222.6,9.0,Grand Solaire Noble
Chiang Mai,22,32,275.5,6.1,Hillside Plaza & Condotel 4
Prachuap Khiri Khan,15,22,373.2,7.7,Sasara Hua Hin
Samut Prakan,8,17,1180.0,15.9,Mulberry Grove The Forestias Condominiums
Krabi,3,9,64.8,15.5,Cleat Condominium
Phetchaburi,6,8,34.4,5.1,Rain Cha Am - Hua Hin
Nonthaburi,7,7,46.7,3.3,The Parkland Ngamwongwan-Khaerai
Surat Thani,2,4,25.7,9.6,Anava Samui
Pathum Thani,2,2,15.5,3.2,The Geo Gardin Condominium
